ATC Catalogue;;;;
anatomical_grp;therapeutic_subgrp;pharmacol_subgrp;chem_subgrp;chem_substance
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AR - Antivirals for treatment of HIV infections -  combinations;J05AR20 - emtricitabine -  tenofovir alafenamide and bictegravir
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AC - Platelet aggregation inhibitors excl. heparin;B01AC09 - epoprostenol
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09B - ACE INHIBITORS -  COMBINATIONS;C09BX - ACE inhibitors -  other combinations in ATC;C09BX03 - ramipril -  amlodipine and hydrochlorothiazide
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09D - ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs) -  COMBINATIONS;C09DX - Angiotensin II receptor blockers (ARBs) -  other combinations;C09DX01 - valsartan -  amlodipine and hydrochlorothiazide
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A04 - ANTIEMETICS AND ANTINAUSEANTS;A04A - ANTIEMETICS AND ANTINAUSEANTS;A04AD - Other antiemetics in ATC;A04AD54 - chlorobutanol -  combinations
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05D - COUGH SUPPRESSANTS -  EXCL. COMBINATIONS WITH EXPECTORANTS;R05DB - Other cough suppressants in ATC;R05DB13 - butamirate
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01R - COMBINATIONS OF ANTIBACTERIALS;J01RA - Combinations of antibacterials;J01RA03 - cefuroxime and metronidazole
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05D - COUGH SUPPRESSANTS -  EXCL. COMBINATIONS WITH EXPECTORANTS;R05DB - Other cough suppressants in ATC;R05DB16 - dibunate
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09E - RESPIRATORY SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS;V09EA - Technetium (99mTc) -  inhalants;V09EA01 - technetium (99mTc) pentetic acid
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07C - BACTERIAL AND VIRAL VACCINES -  COMBINED;J07CA - Bacterial and viral vaccines -  combined;J07CA07 - diphtheria-hepatitis B-tetanus
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04B - UROLOGICALS;G04BX - Other urologicals in ATC;G04BX01 - magnesium hydroxide
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A12 - MINERAL SUPPLEMENTS;A12B - POTASSIUM SUPPLEMENTS;A12BA - Potassium;A12BA01 - potassium chloride
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AB - Antidotes;V03AB29 - cholinesterase
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02C - ANTIMIGRAINE PREPARATIONS;N02CA - Ergot alkaloids -  antimigraine;N02CA02 - ergotamine
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05C - EXPECTORANTS -  EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS;R05CA - Expectorants;R05CA13 - cineole
D - DERMATOLOGICALS;D10 - ANTI-ACNE PREPARATIONS;D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE;D10AF - Antiinfectives for treatment of acne;D10AF52 - erythromycin -  combinations
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AE - Piperazine derivatives -  systemic antihistamines;R06AE09 - levocetirizine
D - DERMATOLOGICALS;D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE;D06B - CHEMOTHERAPEUTICS FOR TOPICAL USE;D06BA - Sulfonamides -  topical;D06BA03 - mafenide
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A01 - STOMATOLOGICAL PREPARATIONS;A01A - STOMATOLOGICAL PREPARATIONS;A01AC - Corticosteroids for local oral treatment;A01AC03 - hydrocortisone
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03A - ADRENERGICS -  INHALANTS;R03AK - Adrenergics inhalants in combination with corticosteroids or other drugs -  excl. anticholinergics;R03AK07 - formoterol and budesonide
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05C - IRRIGATING SOLUTIONS -  BLOOD SUBSTITUTES AND PERFUSION;B05CX - Other irrigating solutions in ATC;B05CX02 - sorbitol
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L03 - IMMUNOSTIMULANTS;L03A - IMMUNOSTIMULANTS;L03AA - Colony stimulating factors;L03AA14 - lipegfilgrastim
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10A - LIPID MODIFYING AGENTS -  PLAIN;C10AA - HMG CoA reductase inhibitors -  plain lipid modifying drugs;C10AA04 - fluvastatin
V - VARIOUS DRUG CLASSES IN ATC;V10 - THERAPEUTIC RADIOPHARMACEUTICALS;V10A - ANTIINFLAMMATORY THERAPEUTIC RADIOPHARMACEUTICALS;V10AA - Yttrium-90 antiinflammatory radiopharmaceuticals;V10AA01 - yttrium (90Y) citrate colloid
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01B - ANTIMETABOLITES;L01BB - Purine analogs -  antimetabolites antineoplastic;L01BB04 - cladribine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03B - ANDROGENS;G03BA - 3-oxoandrosten (4) derivatives;G03BA02 - methyltestosterone
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01D - CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES;L01DB - Anthracyclines and related substances;L01DB02 - daunorubicin
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BE - Anilide analgesics and antipyretics;N02BE53 - phenacetin -  combinations excl. psycholeptics
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05X - I.V. SOLUTION ADDITIVES;B05XB - Amino Acids -  I.V. solution additive;B05XB03 - lysine
N - NERVOUS SYSTEM DRUGS;N07 - OTHER NERVOUS SYSTEM DRUGS in ATC;N07A - PARASYMPATHOMIMETICS;N07AA - Anticholinesterase parasympathomimetics;N07AA01 - neostigmine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);A02BB - Prostaglandin drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD);A02BB01 - misoprostol
S - SENSORY ORGAN DRUGS;S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS;S03A - ANTIINFECTIVES -  OPHTHALMOLOGIC AND OTOLOGIC;S03AA - Antiinfectives;S03AA30 - antiinfectives -  combinations
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05C - IRRIGATING SOLUTIONS -  BLOOD SUBSTITUTES AND PERFUSION;B05CB - Salt irrigating solutions;B05CB03 - magnesium citrate
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09I - TUMOUR DETECTION RADIOPHARMACEUTICALS;V09IX - Other diagnostic radiopharmaceuticals for tumour detection in ATC;V09IX08 - fluoroethylcholine (18F)
D - DERMATOLOGICALS;D04 - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04A - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04AB - Anesthetics for topical use;D04AB03 - oxybuprocaine
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09X - OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM in ATC;C09XA - Renin-inhibitors;C09XA01 - remikiren
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09D - ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs) -  COMBINATIONS;C09DB - Angiotensin II receptor blockers (ARBs) and calcium channel blockers;C09DB01 - valsartan and amlodipine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AH - Neuraminidase inhibitors -  direct acting antivirals;J05AH02 - oseltamivir
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02C - ANTIMIGRAINE PREPARATIONS;N02CC - Selective serotonin (5HT1) agonists -  antimigraine drugs;N02CC05 - almotriptan
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09B - ACE INHIBITORS -  COMBINATIONS;C09BB - ACE inhibitors and calcium channel blockers;C09BB06 - enalapril and nitrendipine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L03 - IMMUNOSTIMULANTS;L03A - IMMUNOSTIMULANTS;L03AA - Colony stimulating factors;L03AA17 - pegteograstim
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09A - ACE INHIBITORS -  PLAIN;C09AA - ACE inhibitors -  plain;C09AA03 - lisinopril
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02D - ARTERIOLAR SMOOTH MUSCLE -  AGENTS ACTING ON;C02DB - Hydrazinophthalazine derivatives acting on arteriolar smooth muscle;C02DB02 - hydralazine
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BG - Other analgesics and antipyretics in ATC;N02BG04 - floctafenine
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P02 - ANTHELMINTICS;P02C - ANTINEMATODAL AGENTS;P02CX - Other antinematodals in ATC;P02CX01 - pyrvinium
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A05 - BILE AND LIVER THERAPY DRUGS;A05A - BILE THERAPY DRUGS;A05AX - Other drugs for bile therapy in ATC;A05AX01 - piprozolin
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02A - ANTACIDS;A02AD - antacids containing combinations and complexes of aluminium -  calcium and magnesium compounds;A02AD02 - magaldrate
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A11 - VITAMINS;A11H - OTHER PLAIN VITAMIN PREPARATIONS in ATC;A11HA - Other plain vitamin preparations in ATC;A11HA01 - nicotinamide
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BE - Anilide analgesics and antipyretics;N02BE03 - phenacetin
D - DERMATOLOGICALS;D04 - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04A - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04AB - Anesthetics for topical use;D04AB06 - tetracaine
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02A - ANTIADRENERGIC AGENTS -  CENTRALLY ACTING;C02AA - Rauwolfia alkaloids -  centrally acting antiadrenergic;C02AA04 - rauwolfia alkaloids -  whole root
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AF - Morphinan derivatives -  opiod analgesics;N02AF01 - butorphanol
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX36 - oblimersen
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AD - Corticosteroid nasal preparations for topical use;R01AD57 - tixocortol -  combinations
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02A - ANTIADRENERGIC AGENTS -  CENTRALLY ACTING;C02AC - Imidazoline receptor agonists;C02AC05 - moxonidine
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AC - Oxicams -  antiinflammatory and antirheumatic drugs;M01AC05 - lornoxicam
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01C - CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES;C01CA - Adrenergic and dopaminergic cardiac stimulants;C01CA26 - ephedrine
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09G - CARDIOVASCULAR SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS;V09GA - Technetium 99m compounds -  cardiovascular system diagnostic radiopharmaceuticals;V09GA06 - technetium (99mTc) stannous agent labelled cells
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03D - OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC;R03DX - Other systemic drugs for obstructive airway diseases in ATC;R03DX08 - reslizumab
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06A - ANTIDEPRESSANTS;N06AA - Non-selective monoamine reuptake inhibitors;N06AA08 - dibenzepin
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02A - ANTIADRENERGIC AGENTS -  CENTRALLY ACTING;C02AA - Rauwolfia alkaloids -  centrally acting antiadrenergic;C02AA07 - bietaserpine
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AB - Substituted alkylamines -  systemic antihistamines;R06AB01 - brompheniramine
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AB - Phenothiazines with piperazine structure -  antipsychotics;N05AB03 - perphenazine
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08C - MAGNETIC RESONANCE IMAGING CONTRAST MEDIA;V08CB - Superparamagnetic contrast media;V08CB01 - ferumoxsil
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A07 - ANTIDIARRHEALS -  INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS;A07B - INTESTINAL ADSORBENTS;A07BC - Other intestinal adsorbents in ATC;A07BC02 - kaolin
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE22 - masitinib
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P03 - ECTOPARASITICIDES -  INCL. SCABICIDES -  INSECTICIDES AND REPELLENTS;P03A - ECTOPARASITICIDES -  INCL. SCABICIDES;P03AX - Other ectoparasiticides -  incl. scabicides in ATC;P03AX04 - quassia
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03D - OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC;R03DA - Xanthines -  systemic for obstructive airway disease;R03DA12 - mepyramine theophyllinacetate
C - CARDIOVASCULAR SYSTEM DRUGS;C04 - PERIPHERAL VASODILATORS;C04A - PERIPHERAL VASODILATORS;C04AX - Other peripheral vasodilators in ATC;C04AX02 - phenoxybenzamine
R - RESPIRATORY SYSTEM DRUGS;R02 - THROAT PREPARATIONS;R02A - THROAT PREPARATIONS;R02AX - Other throat preparations in ATC;R02AX02 - ibuprofen
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P01 - ANTIPROTOZOALS;P01B - ANTIMALARIALS;P01BE - Artemisinin and derivatives -  plain;P01BE04 - artemotil
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07A - BACTERIAL VACCINES;J07AJ - Pertussis vaccines;J07AJ01 - pertussis -  inactivated -  whole cell
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A11 - VITAMINS;A11C - VITAMIN A AND D -  INCL. COMBINATIONS OF THE TWO;A11CA - Vitamin A -  plain;A11CA01 - retinol (vit A)
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CE - Piperidinedione derivatives -  hypnotics and sedatives;N05CE02 - methyprylon
N - NERVOUS SYSTEM DRUGS;N04 - ANTI-PARKINSON DRUGS;N04B - DOPAMINERGIC AGENTS;N04BD - MAO B Inhibitors -  dopaminergic anti-parkinson drugs;N04BD01 - selegiline
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE25 - trametinib
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08A - X-RAY CONTRAST MEDIA -  IODINATED;V08AC - Watersoluble -  hepatotropic X-ray contrast media;V08AC08 - sodium iopodate
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AR - Antivirals for treatment of HIV infections -  combinations;J05AR17 - emtricitabine and tenofovir alafenamide
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B02 - ANTIHEMORRHAGICS;B02A - ANTIFIBRINOLYTICS;B02AA - Antifibrinolytic amino acids;B02AA01 - aminocaproic acid
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03C - ESTROGENS -  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03CX - Other estrogens in ATC;G03CX01 - tibolone
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08D - ULTRASOUND CONTRAST MEDIA;V08DA - Ultrasound contrast media;V08DA06 - perflubutane polymer microspheres
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);A02BX - Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) in ATC;A02BX13 - alginic acid
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B03 - ANTIANEMIC PREPARATIONS;B03B - VITAMIN B12 AND FOLIC ACID;B03BA - Vitamin B12 (cyanocobalamin and analogues);B03BA53 - hydroxocobalamin -  combinations
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03B - BELLADONNA AND DERIVATIVES CONTAINING DRUGS -  PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03BA - Belladonna alkaloids -  tertiary amines for functional gastrointestinal disorders;A03BA03 - hyoscyamine
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05X - I.V. SOLUTION ADDITIVES;B05XX - Other i.v. solution additives in ATC;B05XX02 - trometamol
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XA - Platinum compounds -  antineoplastic drugs;L01XA02 - carboplatin
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A12 - MINERAL SUPPLEMENTS;A12A - CALCIUM SUPPLEMENTS;A12AA - Calcium;A12AA11 - calcium pangamate
M - MUSCULO-SKELETAL SYSTEM DRUGS;M03 - MUSCLE RELAXANTS;M03A - MUSCLE RELAXANTS -  PERIPHERALLY ACTING AGENTS;M03AC - Other quaternary ammonium compounds in ATC -  muscle relaxants -  peripherally acting;M03AC05 - hexafluronium
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03C - ESTROGENS -  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03CB - Synthetic estrogens -  plain;G03CB02 - diethylstilbestrol
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01C - CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES;C01CX - Other cardiac stimulants in ATC;C01CX07 - xamoterol
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AF - Thioxanthene derivatives -  antipsychotic;N05AF04 - tiotixene
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01G - DECONGESTANTS AND ANTIALLERGICS;S01GX - Other antiallergics in ATC;S01GX08 - ketotifen
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07A - CORTICOSTEROID DERMATOLOGICAL PREPARATIONS -  PLAIN;D07AC - Corticosteroids -  potent (group III);D07AC02 - fluclorolone
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BJ - Glucagon-like peptide-1 (GLP-1) analogues;A10BJ02 - liraglutide
C - CARDIOVASCULAR SYSTEM DRUGS;C03 - DIURETICS;C03A - LOW-CEILING DIURETICS -  THIAZIDES;C03AB - Thiazides and potassium in combination;C03AB03 - hydrochlorothiazide and potassium
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06B - PSYCHOSTIMULANTS -  AGENTS USED FOR ADHD AND NOOTROPICS;N06BA - Centrally acting sympathomimetics;N06BA01 - amfetamine
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09E - RESPIRATORY SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS;V09EX - Other respiratory system diagnostic radiopharmaceuticals in ATC;V09EX01 - krypton (81mKr) gas
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01E - OTHER CARDIAC PREPARATIONS in ATC;C01EB - Other plain cardiac preparations in ATC;C01EB22 - meldonium
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07A - BACTERIAL VACCINES;J07AL - Pneumococcal vaccines;J07AL01 - pneumococcus -  purified polysaccharides antigen
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AC - Imidazole and triazole derivatives -  topical antifungals;D01AC15 - fluconazole
R - RESPIRATORY SYSTEM DRUGS;R02 - THROAT PREPARATIONS;R02A - THROAT PREPARATIONS;R02AD - local anesthetic throat preparations;R02AD03 - cocaine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AX - Other gynecological antiinfectives and antiseptics in ATC;G01AX01 - clodantoin
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AE - Propionic acid derivatives -  antiinflammatory and antirheumatic products;M01AE08 - pirprofen
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05X - I.V. SOLUTION ADDITIVES;B05XA - Electrolyte solutions;B05XA15 - potassium lactate
R - RESPIRATORY SYSTEM DRUGS;R02 - THROAT PREPARATIONS;R02A - THROAT PREPARATIONS;R02AB - Antibiotic throat preparations;R02AB02 - tyrothricin
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AB - Synthetic anticholinergics -  quaternary ammonium compounds for functional gastrointestinal disorders;A03AB16 - (2-benzhydryloxyethyl)diethyl-methylammonium iodide
D - DERMATOLOGICALS;D04 - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04A - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04AA - Antihistamines for topical use;D04AA15 - bamipine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A01 - STOMATOLOGICAL PREPARATIONS;A01A - STOMATOLOGICAL PREPARATIONS;A01AB - Antiinfectives and antiseptics for local oral treatment;A01AB06 - domiphen
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AE - Propionic acid derivatives -  antiinflammatory and antirheumatic products;M01AE52 - naproxen and esomeprazole
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BJ - Glucagon-like peptide-1 (GLP-1) analogues;A10BJ05 - dulaglutide
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05D - COUGH SUPPRESSANTS -  EXCL. COMBINATIONS WITH EXPECTORANTS;R05DA - Opium alkaloids and derivatives -  cough suppressants;R05DA03 - hydrocodone
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04B - UROLOGICALS;G04BE - Drugs used in erectile dysfunction;G04BE08 - tadalafil
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A05 - BILE AND LIVER THERAPY DRUGS;A05B - LIVER THERAPY -  LIPOTROPICS;A05BA - Liver therapy drugs;A05BA07 - tidiacic arginine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A14 - ANABOLIC AGENTS FOR SYSTEMIC USE;A14A - ANABOLIC STEROIDS;A14AA - Androstan derivatives;A14AA06 - quinbolone
